843,"['842', '12997', '2009/1/20', '2009/1/20', '女', '4', '', 'CA', 'US', '49.0', '2014/3/31', '6', '86074', '0', '0', '12600.0', '27000.0', '73392', '75593.76', '2014/2/22', '0.75', '10759.25', '202', '39', '98.0', '297', '0', '0', '7', '1.03', '2', '4', '30242', '55832', '0', '0', '0', '0', '86074', '55832', '0.666666667', '0.333333333', '0.351344757', '0.648643625', '7']"
1255,"['1254', '15526', '2012/5/14', '2012/5/14', '男', '5', 'Yeoju-gun', 'Gyeonggi-do', 'KR', '48.0', '2014/3/31', '43', '48404', '0', '2987', '30030.0', '29704.0', '93049', '64370.98', '2014/3/31', '5.375', '6050.5', '0', '1', '16.35714286', '59', '0', '3296', '1', '0.69179658', '16', '27', '29265', '19139', '2987', '3296', '6283', '6283', '54687', '25422', '0.627906977', '0.372093023', '0.604586303', '0.395393038', '9']"
1330,"['1329', '62825', '2008/1/8', '2008/1/8', '女', '5', '宁波', '浙江', 'CN', '39.0', '2014/3/31', '48', '54103', '0', '2549', '21815.0', '32934.0', '80586', '63052.65', '2014/3/27', '6.0', '6762.875', '24', '5', '14.93617021', '74', '0', '0', '2', '0.782426848', '20', '28', '21440', '32663', '2549', '0', '2549', '2549', '56652', '35212', '0.583333333', '0.416666667', '0.396273843', '0.603707674', '2']"
1333,"['1332', '57358', '2008/5/15', '2008/12/27', '男', '5', '北京市', '北京', 'CN', '53.0', '2014/3/31', '55', '54342', '0', '966', '32727.0', '21548.0', '88604', '63003.73', '2014/3/23', '6.875', '6792.75', '13', '9', '13.12962963', '61', '1697', '0', '5', '0.711070945', '33', '22', '30544', '23798', '966', '1697', '2663', '966', '57005', '24764', '0.4', '0.6', '0.562059511', '0.437922087', '8']"
1334,"['1333', '61361', '2013/1/12', '2013/1/12', '男', '5', '乌鲁木齐', '新疆', 'CN', '44.0', '2014/3/31', '19', '59657', '0', '1791', '15048.0', '33514.0', '48560', '62997.19', '2014/3/27', '3.8', '11931.4', '0', '5', '24.44444444', '84', '888', '3696', '0', '1.297306219', '5', '14', '17875', '41782', '1791', '4584', '6375', '5487', '66032', '47269', '0.736842105', '0.263157895', '0.299624526', '0.700358711', '2']"
1443,"['1442', '13196', '2006/1/12', '2009/7/7', '男', '6', '增城', '广东', 'CN', '51.0', '2014/3/31', '75', '49333', '0', '5745', '15823.0', '41654.0', '79162', '60637.82', '2014/3/21', '9.375', '6166.625', '8', '11', '9.621621622', '48', '0', '0', '0', '0.765996564', '22', '53', '14047', '35286', '5745', '0', '5745', '5745', '55078', '41031', '0.706666667', '0.293333333', '0.284732639', '0.715247091', '1']"
1519,"['1518', '26999', '2006/12/31', '2007/1/7', '男', '5', '乌鲁木齐', '新疆', 'CN', '50.0', '2014/3/31', '42', '54506', '0', '817', '23000.0', '25241.0', '85269', '59255.47', '2014/1/30', '5.25', '6813.25', '9', '62', '16.09756098', '96', '500', '3464', '2', '0.694923947', '22', '20', '24629', '29877', '817', '3964', '4781', '4281', '59287', '34158', '0.476190476', '0.523809524', '0.451850221', '0.548131433', '5']"
1626,"['1625', '47614', '2007/7/13', '2008/12/10', '男', '5', '南海', '广东', 'CN', '43.0', '2014/3/31', '34', '52438', '0', '3948', '16955.0', '36481.0', '45522', '57514.51', '2014/2/4', '4.25', '6554.75', '203', '57', '14.27272727', '47', '2688', '0', '0', '1.263444269', '11', '23', '15867', '36571', '3948', '2688', '6636', '3948', '59074', '40519', '0.676470588', '0.323529412', '0.302580141', '0.697400789', '8']"
1712,"['1711', '19530', '2010/2/13', '2010/3/11', '男', '5', '阿图什', '新疆', 'CN', '50.0', '2014/3/31', '65', '43360', '0', '3639', '18393.0', '21830.0', '100156', '56276.89', '2014/3/11', '8.125', '5420.0', '19', '21', '10.796875', '54', '0', '629', '0', '0.561892348', '31', '34', '19146', '24214', '3639', '629', '4268', '4268', '47628', '28482', '0.523076923', '0.476923077', '0.441548857', '0.558428081', '2']"
1769,"['1768', '53740', '2007/6/11', '2007/6/11', '男', '5', '苏州', '江苏', 'CN', '32.0', '2014/3/31', '54', '48758', '0', '2555', '12490.0', '11049.0', '69289', '55552.05', '2014/2/28', '6.75', '6094.75', '10', '33', '12.98113208', '53', '5652', '18289', '2', '0.801744144', '27', '27', '22978', '25780', '2555', '23941', '26496', '20844', '75254', '46624', '0.5', '0.5', '0.471256589', '0.528722902', '28']"
